LENGTH,WIDTH,HEIGHT,ITEM CODE NEW,,
4600,850,1220,14-119-1308865,0,0.01
2700,700,1000,14-119-1308771,0,0.03
3200,700,1000,14-119-1308858,0,0.02
3500,700,1000,14-119-1308859,0,0.02
3700,700,1000,14-119-1308860,0,0.02
3900,700,1000,14-119-1308862,0,0.02
4400,850,1220,14-119-1308864,0,0.01
460,300,400,14-119-1355476,0,0.99
450,450,410,14-119-1355477,0,0.66
650,550,440,14-119-1355521,0,0.35
310,310,510,14-119-1355538,0,1.11
360,360,510,14-119-1355564,0,0.82
540,170,500,14-120-1356944,0,1.19
410,290,65,14-120-1356592,0,7.05
410,400,75,14-120-1356595,0,4.43
260,190,190,14-120-1358808,0,5.8
1035,1035,2160,14-119-1358943,0,0.02
105,40,40,14-120-1359484,0,0
165,70,70,14-120-1359485,0,0
175,125,125,14-120-1359486,0,19.91
95,50,50,14-120-1359487,0,0
120,65,65,14-120-1359488,0,0
150,120,120,14-120-1359489,0,25.21
1100,1100,2300,14-119-1359467,0,0.02
145,100,55,14-120-1359540,0,68.28
6700,3120,3370,14-119-1360692,0,0
175,160,100,14-120-1360806,0,19.45
395,255,430,14-120-1361031,0,1.26
130,105,160,14-120-1361632,0,24.93
150,105,200,14-120-1361613,0,17.29
180,105,200,14-120-1361618,0,14.4
195,105,235,14-120-1361623,0,11.32
215,105,235,14-120-1361625,0,10.26
215,105,235,14-117-1362421,0,10.26
665,605,320,14-120-1363262,0,0.42
510,210,205,14-120-1363012,0,2.48
480,210,210,14-120-1363025,0,2.57
510,260,255,14-120-1363069,0,1.61
380,348,15,14-117-1364531,0,0
283,210,15,14-117-1364532,0,0
430,395,310,14-119-1364245,0,1.03
580,460,320,14-119-1364247,0,0.64
820,470,400,14-119-1364252,0,0.35
830,430,260,14-119-1364256,0,0.59
686,550,390,14-119-1363665,0,0.37
410,210,170,14-120-1365440,0,3.72
295,170,140,14-120-1365442,0,7.76
590,340,230,14-119-1364264,0,1.18
395,395,620,14-119-1364516,0,0.56
255,255,460,14-120-1365444,0,1.82
570,300,195,14-119-1365031,0,1.63
370,340,260,14-120-1365443,0,1.66
330,290,240,14-120-1365441,0,2.37
2300,1360,1150,14-119-1365450,0,0.02
300,230,95,14-116-1366019,0,8.31
460,100,40,14-116-1366008,0,0
1000,25,40,14-116-1366009,0,0
410,410,485,14-120-1358049,0,0.67
280,280,380,14-120-1358048,0,1.83
205,205,300,14-120-1358046,0,4.32
500,265,220,14-120-1366092,0,1.87
285,190,100,14-120-1366102,0,10.06
255,235,200,14-120-1366131,0,4.54
255,180,160,14-120-1366133,0,7.41
255,145,130,14-120-1366134,0,11.33
235,215,190,14-120-1366135,0,5.67
450,260,260,14-120-1366136,0,1.79
255,210,160,14-120-1366137,0,6.36
295,270,240,14-120-1366138,0,2.85
360,240,180,14-120-1366139,0,3.5
360,200,150,14-120-1366141,0,5.04
270,260,255,14-120-1366156,0,3.04
290,185,100,14-120-1366583,0,10.15
510,210,315,14-120-1366633,0,1.61
590,310,350,14-120-1366654,0,0.85
405,190,180,14-120-1366658,0,3.93
490,210,295,14-120-1366660,0,1.79
540,260,320,14-120-1366662,0,1.21
430,210,190,14-120-1366663,0,3.17
495,155,265,14-120-1366667,0,2.68
400,210,200,14-120-1366668,0,3.24
425,210,280,14-120-1366669,0,2.18
490,270,180,14-120-1366670,0,2.29
255,165,160,14-120-1366787,0,8.09
225,160,105,14-120-1368658,0,14.4
330,190,175,14-120-1369113,0,4.96
560,420,230,14-120-1369120,0,1.01
230,230,160,14-120-1369701,0,6.43
160,120,120,14-120-1369702,0,23.63
200,190,95,14-120-1369892,0,15.08
410,410,65,14-120-1370454,0,4.98
550,270,255,14-120-1371034,0,1.44
660,220,220,14-120-1371115,0,1.7
80,80,45,14-120-1371269,0,0
105,105,55,14-120-1371270,0,0
160,160,80,14-120-1371271,0,26.59
190,190,90,14-120-1371272,0,16.76
310,160,110,14-120-1371273,0,9.98
330,180,95,14-120-1371274,0,9.65
340,150,120,14-120-1371276,0,8.9
590,270,255,14-120-1371190,0,1.34
700,380,620,14-119-1357043,0,0.33
700,380,620,14-119-1379943,0,0.33
700,380,620,14-119-1380024,0,0.33
750,560,680,14-119-1357044,0,0.19
750,560,680,14-119-1380025,0,0.19
780,630,900,14-119-1357045,0,0.12
780,630,900,14-119-1380026,0,0.12
780,630,900,14-119-1380027,0,0.12
700,680,650,14-119-1374766,0,0.18
700,680,650,14-119-1374767,0,0.18
700,680,650,14-119-1374768,0,0.18
860,750,730,14-119-1374761,0,0.12
860,750,730,14-119-1374762,0,0.12
960,780,925,14-119-1374769,0,0.08
960,780,925,14-119-1374770,0,0.08
960,780,925,14-119-1374771,0,0.08
320,275,235,14-120-1372021,0,2.63
1800,1800,1500,14-119-1373242,0,0.01
1950,1950,1600,14-119-1373314,0,0.01
2100,2100,1700,14-119-1373315,0,0.01
2350,2350,1950,14-119-1373317,0,0.01
2470,2120,2000,14-119-1373318,0,0.01
280,185,145,14-120-1374290,0,7.25
295,185,185,14-120-1374291,0,5.39
280,275,175,14-120-1374295,0,4.04
285,230,190,,0,4.37
265,255,185,14-120-1374439,0,4.36
385,195,180,14-120-1372022,0,4.03
280,150,125,14-120-1374427,0,10.37
370,290,450,14-120-1373874,0,1.13
305,165,100,14-120-1374417,0,10.82
350,260,260,14-120-1374414,0,2.3
270,125,110,14-120-1374424,0,14.67
295,270,235,14-120-1374559,0,2.91
390,200,225,14-120-1374560,0,3.1
400,225,230,14-120-1374561,0,2.63
